UPC,PriceDiscounted
0067003636223,2.15
5099994815320,2.25
5099994815528,2.25
0602517354135,2.15
0747313717620,2.15
0755174845628,2.25
0084418013722,2.87
0084418014422,2.87
0084418014927,2.87
0084418221622,2.87
0084418221721,2.87
0084418221820,2.87
0084418221929,2.87
0084418222025,2.87
0084418222124,2.87
0084418334926,2.87
0084418405527,2.87
0084418405626,2.87
0084418423620,2.87
0602517988811,2.87
0602537576838,2.87
0664140010628,2.87
0664140076426,2.87
0664140135529,2.87
0664140288027,2.87
0664140304727,2.87
0664140724723,2.87
0724381775028,2.87
0790617603021,2.87
0790617603120,2.87
0790617603229,2.87
0790617603328,2.87
0790617603427,2.87
0863877000111,2.87
0885470001821,2.87
0016861805821,3.59
0016861844028,3.59
0037628087021,3.59
0050086063277,3.59
0050086089772,3.59
0050086105571,3.59
0050087100773,3.59
0050087122652,3.59
0050087149048,3.59
0050087149055,3.59
0050087149062,3.59
0050087149079,3.59
0050087153762,3.59
0050087154516,3.59
0050087154523,3.59
0050087154547,3.59
0050087163167,3.59
0050087163235,3.59
0050087245696,3.59
0050087248024,3.59
0050087278557,3.59
0050087285869,3.59
0050087304140,3.59
0050087340636,3.59
0074645724126,3.59
0074645724324,3.59
0075596051224,3.59
0075596051521,3.59
0075596086127,3.59
0075596155526,3.59
0075596170727,3.59
0075596197724,3.59
0075596212526,3.59
0075596269025,3.59
0075678124020,3.59
0075678193620,3.59
0075678215728,3.59
0075678219924,3.59
0075678956416,3.59
0075679039224,3.59
0075679041920,3.59
0075992383622,3.59
0075992534222,3.59
0075992539425,3.59
0075992573221,3.59
0075992670029,3.59
0075992727327,3.59
0075992733229,3.59
0075992737920,3.59
0075992739726,3.59
0075992740227,3.59
0077774604925,3.59
0077774612722,3.59
0081227127725,3.59
0081227193324,3.59
0081227266028,3.59
0081227266226,3.59
0081227267421,3.59
0081227295523,3.59
0081227323622,3.59
0081227409128,3.59
0081227427023,3.59
0081227571726,3.59
0081227580322,3.59
